question,option1,option2,option3,option4,answer,explanation
下列哪一項屬於個資中的「直接識別」資料？,學號,姓名,電子郵件,遊戲帳號,2,姓名能直接辨識出特定個人，屬於直接識別。
台灣每月因詐騙造成的財損大約是多少？,6 億,16 億,60 億,165 億,3,根據數據統計，台灣每月因詐騙造成的財損高達 60 億元。
資安三要素（CIA）中的「完整性」是指什麼？,防止資料外洩,確保資料正確,系統隨時可用,資料完全免費,2,完整性（Integrity）旨在確保資訊真實、未被篡改。
下列哪一項屬於「財務情況」類的個人資料？,身分證字號,住家地址,銀行帳戶,畢業學校,3,銀行帳戶與信用卡號皆屬於財務情況個資。
資安要素中的「可用性」基本定義是什麼？,資料不外洩,系統隨時保持堪用,資料由 AI 生成,資料永久刪除,2,可用性（Availability）是指確保資料與系統能隨時保持堪用。
倡議「數位科技為人類和地球服務」的是哪一項目標？,SDG 4,SDG 17,SDG 18,SDG 20,3,全球正積極倡議第 18 項目標：SDG 18 數位平權。
「再生電腦計畫」主要是將設備捐贈給誰？,科技大廠,偏鄉學校與弱勢團體,政府機關,一般網咖,2,透過修復二手設備捐給偏鄉，旨在解決數位近用落差。
下列哪一項屬於「間接識別」的個人資料？,指紋,身分證字號,電子郵件,臉部特徵,3,電子郵件需與其他資料組合才能辨識個人，屬間接識別。
數位公民的核心精神不包含下列哪一項？,關懷長輩需求,追求最貴的硬體,耐心填補資訊落差,守護社會資安網,2,數位公民強調的是責任感與關懷，而非單純追求物質設備。
SDG 18 的核心精神「不遺漏任何一人」是指什麼？,每個人都要買新手機,確保技術資產分布公平,每個人都要當駭客,禁止使用傳統工具,2,旨在確保技術分布公平，不讓任何人被排除在數位環境外。
詐騙案件中，「提供人頭帳戶」通常與哪類個資外洩有關？,姓名,學號,銀行帳戶與存摺,電子郵件,3,詐騙集團眼中的金礦主要是銀行帳戶與身分證件。
關於 165 專線的描述，下列何者正確？,它是訂餐電話,它是反詐騙諮詢專線,它是維修電腦電話,它是遊戲客服中心,2,165 是台灣政府推動的反詐騙諮詢與檢舉專線。
下列哪種行為會導致個資外洩？,設定複雜密碼,隨意點擊釣魚簡訊連結,使用事實查核工具,關閉不必要的權限,2,釣魚連結是社交工程攻擊中常見的個資竊取手段。
阿明因為獲得「再生電腦」而解決了什麼問題？,遊戲等級太低,數位近用落差,電子郵件太多,螢幕亮度不足,2,數位近用落差（Access Divide）指硬體設備有無的落差。
「數據背後的人真實故事」是為了讓我們看見什麼？,科技的偉大,數位角落中的困境,數據的枯燥,錢財的價值,2,每一筆詐騙統計背後，都可能是一個家庭的破碎與絕望。
根據個資法，學號外洩可能被同學拿來做什麼？,領取政府補助,惡作劇,賣掉換幾百萬元,申請信用卡,2,對一般學生來說，學號外洩通常帶來的是困擾或惡作劇。
為什麼詐騙集團想要你的「身分證字號」？,幫你慶生,作為犯罪行為的身分工具,幫你申請獎學金,存入你的遊戲帳號,2,身分證號是重要的直接識別個資，常被用於非法開戶。
什麼是「循環經濟」在數位產品上的實踐？,不斷買新的,將舊機翻修再利用,把壞掉的直接丟棄,禁止回收舊機,2,再生電腦計畫將二手設備專業修復，實踐了循環經濟。
「數位防禦力」除了軟體外，還需要具備什麼？,更大的螢幕,正確的數位素養,更多的社群粉絲,最貴的耳機,2,具備查證能力與識讀素養才是最強大的資安防線。
下列何者是「有溫度的資安」？,嚴格的法律制裁,設計時考慮多元包容性,全自動化的過濾系統,只保護有錢人的帳戶,2,考慮到弱勢族群需求的設計，才是具有溫度的資安防護。
王奶奶因看不清 QR Code 放棄點餐，這在資安中代表什麼？,防禦力太強,系統缺乏可用性,機密性很高,資料正確性不足,2,若使用者因生理限制或介面不良無法操作，則缺乏可用性。
李爺爺不敢用網銀 App，反映了數位落差已轉向什麼？,硬體性能落差,能力與信任的落差,網路頻寬落差,軟體版本落差,2,數位落差已從「硬體有無」轉向對科技「信任」的落差。
小晴帶著爺爺使用事實查核工具，這行為體現了什麼？,代位操作,數位陪伴與賦能,社交工程行為,規避法律責任,2,賦予他人辨識風險的能力，而非單純代勞，才是真正的關懷。
為什麼經濟弱勢青少年容易成為人頭帳戶共犯？,因支持系統不足受誘騙,為了出名,因電腦技術太好,為了挑戰法律,1,缺乏家庭支持或急需金流，常因微薄報酬而掉入陷阱。
數位平權觀點下，可用性（Availability）應等同於：,複雜的驗證碼,無障礙近用,最新的處理器,限制使用權限,2,無障礙近用（Accessibility）確保每個人都能平等使用科技。
下列哪一個案例體現了「數位風險的不平等」？,小明換手機,小安因出賣帳戶個資而觸法,小李忘記密碼,小華網路斷線,2,弱勢者一旦個資外洩，其代價往往是生存危機而非單純困擾。
「人頭帳戶青年化」現象中，當事人通常具備什麼特徵？,電腦高手,來自支持系統不足的家庭,非常富有,不喜歡用手機,2,數據顯示，這些青少年多處於社會支持較弱的角落。
如果要幫長輩建立資安防線，最合適的做法是：,嘲笑他不懂,代他刪除簡訊,耐心解釋並填補資訊落差,禁止他用手機,3,運用耐心填補落差，是數位公民建立信任的具體實踐。
下列何者屬於「社交工程」的特徵？,加密硬碟資料,誘發恐懼或貪婪來騙取個資,安裝防火牆,更新作業系統,2,社交工程通常利用人的弱點（如恐懼被斷水）來進行詐騙。
當長輩收到「衛福部領補助」的可疑簡訊，正確建議是？,趕快點開領錢,嘲笑長輩愛錢,協助使用 MyGoPen 查證,置之不理,3,引導長輩使用具信譽的查證工具，建立其辨識風險的能力。
數位落差中的「信任落差」會導致什麼結果？,手機壞掉,數位脫節，無法享受便利,網路速度變慢,電腦中毒,2,過度的資安恐懼會讓人拒絕使用數位工具，進而與社會脫節。
再生電腦計畫除了環保，對「社會」的主要貢獻是？,增加就業機會,縮減城鄉教育資源差距,讓電腦變便宜,提高科技股價,2,該計畫讓偏鄉孩子能跨越山脈，連接全世界的學習資源。
為什麼說個資保護是為了守護「生活安全」？,為了賺更多錢,預防因外洩導致的生存危機,為了提升打字速度,為了節省電力,2,尤其對弱勢者，個資外洩可能導致帳戶結凍、學費繳不出。
「數位守門員」在溝通時應避免使用什麼？,專業術語與網址,譬喻與故事,耐心與問候,語音查詢工具,1,專業術語會增加長輩的心理門檻，應以白話且具同理心的方式溝通。
當滑鼠消失只能用 Tab 鍵操作，這是為了讓學生理解：,滑鼠的重要性,身障者面臨的數位障礙,鍵盤的操作技巧,電腦壞掉的挫折,2,這是模擬身障者在缺乏無障礙設計時，追求資安的困境。
小晴爺爺看到查核結果後「鬆了一口氣」，這代表：,爺爺變聰明了,建立了安全感與韌性,網路變快了,手機修好了,2,真正的資安關懷能讓使用者從恐懼中恢復，建立數位韌性。
弱勢青年出賣個資「掉入法律與貧窮陷阱」的原因不包括？,生存壓力,同儕慫恿,想要破壞網路,缺乏財務知能,3,弱勢者通常是被動掉入陷阱，而非主動想要破壞網路。
SDG 18 願景中的「環境永續」在資安單元中如何體現？,少用電腦,善用再生硬體資源,密碼設短一點,每天清空郵件,2,善用舊機翻修（如再生電腦）能減少電子廢棄物並實踐永續。
為什麼「可用性」不應只考慮伺服器不當機？,因為伺服器很貴,因為使用者的能力落差也是障礙,因為網路一定會斷線,因為 AI 已經取代伺服器,2,若系統很穩但人不會用，對該使用者來說系統依然是「不可用」。
下列哪一項是數位平權的最終目標？,讓所有人都有電競筆電,建立一個不遺漏任何一人的環境,禁止所有詐騙發生,讓每個人都成為工程師,2,確保所有人不分背景都能平等、安全地享受科技带来的利益。
「在經濟匱乏面前，保護個資的意願會被生存壓力取代」意指？,窮人不在乎隱私,資安防護具備階級與處境差異,法律不保護窮人,詐騙是致富捷徑,2,說明資安後果與防護能力受到個人經濟地位的深刻影響。
為什麼小安在結構中是「受害者」，法律上卻是「共犯」？,因為法律寫錯了,反映社會支持不足與個資陷阱的雙重打擊,因為小安很壞,因為警察抓錯人,2,弱勢者因個資危機被迫涉入犯罪，是社會結構導致的悲劇。
重新定義後的 CIA，其核心目標是達成什麼？,更嚴密的監控,有溫度的數位包容,絕對的數據保密,全面自動化防衛,2,讓資安不再只是冰冷代碼，而是能守護每個人的「數位包容」。
如果資安防護將長輩排除在外，該設計被稱為什麼？,安全的設計,失敗的設計,高科技的象徵,節省資源的設計,2,如果科技把人排除在便利與安全之外，那就是失敗的設計。
「數位韌性」（Resilience）對於李爺爺的意義是？,學會修手機,面對數位風險的恢復力與辨識力,賺到更多利息,不再使用手機,2,韌性是指在遭遇潛在威脅時，具備調適、識讀並安全使用的能力。
為什麼說資安是一場關於「尊嚴與生存」的戰爭？,因為駭客很有名,因為被數位社會排除會喪失生活權利,因為防毒軟體很貴,因為密碼很難記,2,在連線世界，失去數位連結或因個資外洩觸法，會嚴重衝擊生存權。
作為數位原住民，改善「數位障礙」的最佳實踐是？,嘲笑數位移民,推動對長輩友善的包容設計,增加更多複雜功能,讓所有人都用最新機型,2,應運用能力簡化流程，讓每個人都能無礙地操作安全設施。
小晴教爺爺查證而非代勞，這對長輩長期資安的影響是？,讓爺爺更依賴小晴,建立長輩的自主防禦能力,讓爺爺討厭科技,讓爺爺眼睛更累,2,「賦能」能讓長輩在未來獨立面對風險時更具信心與能力。
關於「人頭帳戶與弱勢青少年」冰山圖，底層隱藏的是？,黃金財寶,來自支持系統不足家庭的社會問題,高超的技術,隱藏的遊戲寶物,2,冰山底層顯示出詐騙案件多源於深層的社會支持缺乏與貧窮。
成為「有溫度的數位守護者」最後一哩路是指？,通過資安考試,離開教室後，用能力守護身邊的人,買最好的硬體,寫出最強的軟體,2,將所學轉化為具體的數位關懷行動，才是資訊教育的真諦。
